w_d,fighter,kd,str,td,sub,weight_class,method,round,time,event,date,location,,,,,,
win,Erik Koch  Jonathan Brookins,0  0,40  23,0  1,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Alan Belcher  Jason MacDonald,0  0,25  2,0  0,0  0,Middleweight,KO/TKO: Punches,1,3:48,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Vagner Rocha  Cody McKenzie,0  0,18  15,2  0,4  1,Lightweight,SUB: Rear Naked Choke,2,3:49,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Evan Dunham  Shamar Bailey,0  0,92  35,0  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Lance Benoist  Matthew Riddle,0  0,39  26,1  4,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Ken Stone  Donny Walker,0  0,7  1,2  0,1  0,Bantamweight,SUB: Rear Naked Choke,1,2:40,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Seth Baczynski  Clay Harvison,1  0,41  12,0  0,1  0,Welterweight,SUB: Rear Naked Choke,2,1:12,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,TJ Waldburger  Mike Stumpf,0  0,4  0,3  0,2  1,Welterweight,SUB: Triangle Choke,1,3:52,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Robert Peralta  Mike Lullo,0  0,80  51,1  2,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Justin Edwards  Jorge Lopez,0  0,41  42,2  3,2  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Shields vs Ellenberger,09/17/11,"New Orleans, Louisiana, USA",,,,,,
win,Anderson Silva  Yushin Okami,2  0,43  16,0  0,0  0,Middleweight,KO/TKO: Punches,2,2:04,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Mauricio Rua  Forrest Griffin,1  0,16  3,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,1:53,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Edson Barboza  Ross Pearson,1  0,55  60,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Antonio Rodrigo Nogueira  Brendan Schaub,1  0,15  11,0  0,0  0,Heavyweight,KO/TKO: Punches,1,3:09,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Stanislav Nedkov  Luiz Cane,1  0,29  15,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,4:13,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Thiago Tavares  Spencer Fisher,0  0,10  3,3  0,0  0,Lightweight,KO/TKO: Punches,2,2:51,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Rousimar Palhares  Dan Miller,1  1,67  42,2  0,0  0,Middleweight,U-DEC,3,5:00,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Paulo Thiago  David Mitchell,0  0,19  23,6  0,1  0,Welterweight,U-DEC,3,5:00,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Raphael Assuncao  Johnny Eduardo,0  0,53  28,3  0,0  1,Bantamweight,U-DEC,3,5:00,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Erick Silva  Luis Ramos,1  0,4  4,0  0,0  0,Welterweight,KO/TKO: Punch,1,0:40,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Iuri Alcantara  Felipe Arantes,0  0,22  29,6  0,0  0,Featherweight,U-DEC,3,5:00,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Yves Jabouin  Ian Loveland,0  0,37  33,2  3,0  1,Bantamweight,S-DEC,3,5:00,UFC 134: Silva vs Okami,08/27/11,"Rio de Janeiro, Brazil",,,,,,
win,Chris Lytle  Dan Hardy,0  0,127  61,0  1,1  0,Welterweight,SUB: Guillotine Choke,3,4:16,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Benson Henderson  Jim Miller,0  0,65  14,7  0,2  6,Lightweight,U-DEC,3,5:00,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Donald Cerrone  Charles Oliveira,0  0,30  10,0  0,0  0,Lightweight,KO/TKO: Punches,1,3:01,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Duane Ludwig  Amir Sadollah,0  0,123  95,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Jared Hamman  CB Dollaway,0  0,53  19,0  3,0  1,Middleweight,KO/TKO: Punches,2,3:38,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Joseph Benavidez  Eddie wineland,0  0,66  24,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Ed Herman  Kyle Noke,0  0,2  12,1  1,3  0,Middleweight,SUB: Heel Hook,1,4:15,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Ronny Markes  Karlos Vemola,0  0,40  8,6  0,0  1,Light Heavyweight,U-DEC,3,5:00,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Jimy Hettes  Alex Caceres,0  0,2  13,5  0,2  0,Featherweight,SUB: Rear Naked Choke,2,3:12,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Cole Miller  TJ O'Brien,1  0,32  28,0  0,2  0,Lightweight,SUB: Guillotine Choke,2,2:38,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Jacob Volkmann  Danny Castillo,0  0,6  22,3  1,6  0,Lightweight,U-DEC,3,5:00,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Edwin Figueroa  Jason Reinhardt,0  0,23  1,0  1,1  0,Bantamweight,KO/TKO: Punches,2,0:50,UFC Live: Hardy vs Lytle,08/14/11,"Milwaukee, Wisconsin, USA",,,,,,
win,Rashad Evans  Tito Ortiz,0  0,48  5,1  1,0  1,Light Heavyweight,KO/TKO: Knee,2,4:48,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Vitor Belfort  Yoshihiro Akiyama,2  0,12  1,0  0,0  0,Middleweight,KO/TKO: Punches,1,1:52,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Brian Ebersole  Dennis Hallman,0  0,19  0,0  1,0  1,Welterweight,KO/TKO: Elbows,1,4:28,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Constantinos Philippou  Jorge Rivera,1  0,35  25,2  1,1  0,Middleweight,S-DEC,3,5:00,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Rory MacDonald  Mike Pyle,0  0,24  3,0  2,2  0,Welterweight,KO/TKO: Punches,1,3:54,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Alexander Gustafsson  Matt Hamill,1  0,37  13,0  0,0  0,Light Heavyweight,KO/TKO: Punches,2,3:34,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Chad Mendes  Rani Yahya,0  0,35  15,5  0,0  0,Featherweight,U-DEC,3,5:00,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Ivan Menjivar  Nick Pace,0  0,61  31,0  2,0  1,Bantamweight,U-DEC,3,5:00,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Johny Hendricks  Mike Pierce,0  0,54  37,1  1,0  0,Welterweight,S-DEC,3,5:00,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Mike Brown  Nam Phan,0  0,60  38,5  0,0  0,Featherweight,U-DEC,3,5:00,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Rafael Natal  Paul Bradley,0  0,43  13,0  3,0  0,Middleweight,U-DEC,3,5:00,UFC 133: Evans vs Ortiz 2,08/06/11,"Philadelphia, Pennsylvania, USA",,,,,,
win,Dominick Cruz  Urijah Faber,0  0,90  50,4  1,0  0,Bantamweight,U-DEC,5,5:00,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Chris Leben  Wanderlei Silva,1  0,9  3,0  0,0  0,Middleweight,KO/TKO: Punches,1,0:27,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Dennis Siver  Matt Wiman,0  0,31  26,1  5,0  2,Lightweight,U-DEC,3,5:00,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Tito Ortiz  Ryan Bader,1  0,6  4,0  0,1  0,Light Heavyweight,SUB: Guillotine Choke,1,1:56,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Carlos Condit  Dong Hyun Kim,1  0,8  1,0  1,1  0,Welterweight,KO/TKO: Flying Knee,1,2:58,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Melvin Guillard  Shane Roller,2  0,17  1,0  0,0  0,Lightweight,KO/TKO: Punch,1,2:12,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Rafael Dos Anjos  George Sotiropoulos,1  0,2  2,0  0,0  0,Lightweight,KO/TKO: Punch,1,0:59,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Brian Bowles  Takeya Mizugaki,0  0,29  14,1  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Aaron Simpson  Brad Tavares,0  0,43  13,2  1,2  0,Middleweight,U-DEC,3,5:00,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Anthony Njokuani  Andre winner,0  0,116  15,2  0,0  0,Lightweight,U-DEC,3,5:00,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Jeff Hougland  Donny Walker,0  0,61  31,1  0,4  2,Bantamweight,U-DEC,3,5:00,UFC 132: Cruz vs Faber,07/02/11,"Las Vegas, Nevada, USA",,,,,,
win,Cheick Kongo  Pat Barry,1  2,10  8,0  0,0  0,Heavyweight,KO/TKO: Punch,1,2:39,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Charlie Brenneman  Rick Story,0  0,11  17,5  2,0  4,Welterweight,U-DEC,3,5:00,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Matt Brown  John Howard,0  0,38  20,3  5,3  0,Welterweight,U-DEC,3,5:00,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Matt Mitrione  Christian Morecraft,3  0,37  17,0  2,0  0,Heavyweight,KO/TKO: Punches,2,4:28,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Tyson Griffin  Manvel Gamburyan,0  0,67  32,0  2,0  0,Featherweight,U-DEC,3,5:00,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Javier Vazquez  Joe Stevenson,0  0,62  27,3  0,1  1,Featherweight,U-DEC,3,5:00,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Joe Lauzon  Curt Warburton,1  0,12  5,0  0,1  0,Lightweight,SUB: Kimura,1,1:58,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Rich Attonito  Daniel Roberts,1  0,66  23,1  1,0  1,Welterweight,U-DEC,3,5:00,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
nc nc,Nik Lentz  Charles Oliveira,0  1,14  31,2  1,2  3,Lightweight,Overturned,2,1:48,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Ricardo Lamas  Matt Grice,1  0,16  6,1  0,0  0,Featherweight,KO/TKO: Punches,1,4:41,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Michael Johnson  Edward Faaloloto,1  0,27  17,1  0,0  0,Lightweight,KO/TKO: Punches,1,4:42,UFC Live: Kongo vs Barry,06/26/11,"Pittsburgh, Pennsylvania, USA",,,,,,
win,Junior Dos Santos  Shane Carwin,1  0,88  20,2  1,0  0,Heavyweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Kenny Florian  Diego Nunes,0  1,42  31,4  2,1  0,Featherweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Mark Munoz  Demian Maia,0  0,44  32,3  0,1  2,Middleweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Dave Herman  Jon Olav Einemo,1  0,55  34,1  1,0  0,Heavyweight,KO/TKO: Punches,2,3:19,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Donald Cerrone  Vagner Rocha,0  0,86  46,0  1,0  0,Lightweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Sam Stout  Yves Edwards,1  0,13  14,0  1,0  0,Lightweight,KO/TKO: Punch,1,3:52,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Chris Weidman  Jesse Bongfeldt,0  0,7  5,1  0,1  0,Middleweight,SUB: Guillotine Choke,1,4:54,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Krzysztof Soszynski  Mike Massenzio,0  0,66  17,0  2,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Nick Ring  James Head,0  1,58  30,5  0,1  0,Middleweight,SUB: Rear Naked Choke,3,3:33,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Dustin Poirier  Jason Young,0  0,77  57,5  0,0  0,Featherweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Joey Beltran  Aaron Rosa,0  0,88  73,1  0,0  0,Heavyweight,KO/TKO: Punches,3,1:26,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Darren Elkins  Michihiro Omigawa,0  0,78  65,1  1,0  0,Featherweight,U-DEC,3,5:00,UFC 131: Dos Santos vs Carwin,06/11/11,"Vancouver, British Columbia, Canada",,,,,,
win,Tony Ferguson  Ramsey Nijem,1  0,21  12,2  0,0  0,Welterweight,KO/TKO: Punches,1,3:54,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Clay Guida  Anthony Pettis,0  0,19  14,5  0,0  1,Lightweight,U-DEC,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Ed Herman  Tim Credeur,1  0,11  11,0  0,0  0,Middleweight,KO/TKO: Punch,1,0:48,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Kyle Kingsbury  Fabio Maldonado,0  0,95  78,5  2,0  2,Light Heavyweight,U-DEC,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Chris Cope  Chuck O'Neil,0  0,66  47,0  0,0  0,Welterweight,U-DEC,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Jeremy Stephens  Danny Downes,0  0,55  32,6  0,3  1,Lightweight,U-DEC,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,George Roop  Josh Grispi,1  0,91  11,0  4,0  0,Featherweight,KO/TKO: Punch,3,3:14,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Shamar Bailey  Ryan McGillivray,0  0,33  19,5  0,0  0,Welterweight,U-DEC,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Clay Harvison  Justin Edwards,0  0,57  42,1  7,2  0,Welterweight,S-DEC,3,5:00,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Scott Jorgensen  Ken Stone,0  0,15  18,1  0,0  0,Bantamweight,KO/TKO: Punch,1,4:01,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Reuben Duran  Francisco Rivera,0  0,42  22,2  0,2  3,Bantamweight,SUB: Rear Naked Choke,3,1:57,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,06/04/11,"Las Vegas, Nevada, USA",,,,,,
win,Quinton Jackson  Matt Hamill,0  0,55  32,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Frank Mir  Roy Nelson,0  0,46  21,6  0,0  0,Heavyweight,U-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Travis Browne  Stefan Struve,1  0,17  10,1  0,0  2,Heavyweight,KO/TKO: Punch,1,4:11,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Rick Story  Thiago Alves,0  0,62  41,4  1,0  0,Welterweight,U-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Brian Stann  Jorge Santiago,2  0,47  14,0  0,0  0,Middleweight,KO/TKO: Punch,2,4:29,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Demetrious Johnson  Miguel Torres,0  0,13  10,5  0,0  3,Bantamweight,U-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Tim Boetsch  Kendall Grove,0  0,17  20,7  1,0  0,Middleweight,U-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Gleison Tibau  Rafaello Oliveira,1  0,19  12,3  0,2  0,Lightweight,SUB: Rear Naked Choke,2,3:28,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Michael McDonald  Chris Cariaso,0  0,32  44,1  1,0  0,Bantamweight,S-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Renan Barao  Cole Escovedo,0  0,46  29,6  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 130: Rampage vs Hamill,05/28/11,"Las Vegas, Nevada, USA",,,,,,
win,Georges St-Pierre  Jake Shields,0  0,85  78,2  0,0  0,Welterweight,U-DEC,5,5:00,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Jose Aldo  Mark Hominick,1  0,94  71,5  1,1  0,Featherweight,U-DEC,5,5:00,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Lyoto Machida  Randy Couture,1  0,15  5,0  0,0  0,Light Heavyweight,KO/TKO: Kick,2,1:05,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Vladimir Matyushenko  Jason Brilz,1  0,8  1,0  0,0  0,Light Heavyweight,KO/TKO: Punch,1,0:20,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Benson Henderson  Mark Bocek,0  0,56  11,3  4,0  2,Lightweight,U-DEC,3,5:00,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Rory MacDonald  Nate Diaz,0  0,42  26,7  0,0  0,Welterweight,U-DEC,3,5:00,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Jake Ellenberger  Sean Pierson,1  0,9  3,1  0,0  0,Welterweight,KO/TKO: Punch,1,2:42,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Claude Patrick  Daniel Roberts,0  0,29  6,4  1,1  1,Welterweight,U-DEC,3,5:00,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Ivan Menjivar  Charlie Valencia,1  0,8  5,0  0,0  0,Bantamweight,KO/TKO: Elbow,1,1:30,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Jason MacDonald  Ryan Jensen,0  0,0  0,0  0,1  1,Middleweight,SUB: Triangle Choke,1,1:37,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,John Makdessi  Kyle Watson,1  0,50  25,0  0,0  0,Lightweight,KO/TKO: Spinning Back Fist,3,1:27,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Pablo Garza  Yves Jabouin,0  0,26  16,0  0,1  0,Featherweight,SUB: Triangle Choke,1,4:31,UFC 129: St-Pierre vs Shields,04/30/11,"Toronto, Ontario, Canada",,,,,,
win,Phil Davis  Rogerio Nogueira,0  0,42  8,4  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Anthony Johnson  Dan Hardy,1  0,20  2,4  0,2  3,Welterweight,U-DEC,3,5:00,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Amir Sadollah  DaMarques Johnson,0  0,62  27,2  2,0  0,Welterweight,KO/TKO: Elbows,2,3:27,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Chan Sung Jung  Leonard Garcia,0  0,30  15,1  0,1  0,Featherweight,SUB: Twister,2,4:59,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Mike Russow  Jon Madsen,0  0,14  27,3  0,0  0,Heavyweight,KO/TKO,2,5:00,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Mackens Semerzier  Alex Caceres,0  0,9  2,3  0,1  0,Featherweight,SUB: Rear Naked Choke,1,3:18,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,John Hathaway  Kris McCray,0  0,43  48,3  3,4  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Michael McDonald  Edwin Figueroa,0  0,51  45,5  0,3  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Christian Morecraft  Sean McCorkle,0  0,22  8,1  1,2  0,Heavyweight,SUB: Guillotine Choke,2,4:10,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Johny Hendricks  TJ Waldburger,1  0,7  3,0  0,0  0,Welterweight,KO/TKO: Punch,1,1:35,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Aaron Simpson  Mario Miranda,0  0,59  14,10  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Nik Lentz  Waylon Lowe,0  0,51  46,0  4,1  1,Lightweight,SUB: Guillotine Choke,3,2:24,UFC Fight Night: Nogueira vs Davis,03/26/11,"Seattle, Washington, USA",,,,,,
win,Jon Jones  Mauricio Rua,1  0,75  9,3  0,0  0,Light Heavyweight,KO/TKO: Knee,3,2:37,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Urijah Faber  Eddie wineland,0  0,49  11,2  1,0  0,Bantamweight,U-DEC,3,5:00,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Jim Miller  Kamal Shalorus,1  0,43  26,1  1,2  0,Lightweight,KO/TKO: Knee,3,2:15,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Nate Marquardt  Dan Miller,0  0,47  10,3  2,0  2,Middleweight,U-DEC,3,5:00,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Brendan Schaub  Mirko Filipovic,1  0,40  21,4  0,0  0,Heavyweight,KO/TKO: Punch,3,3:44,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Luiz Cane  Eliot Marshall,1  0,29  2,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,2:15,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Edson Barboza  Anthony Njokuani,0  0,46  72,2  1,0  0,Lightweight,U-DEC,3,5:00,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Mike Pyle  Ricardo Almeida,0  0,36  48,1  1,1  0,Welterweight,U-DEC,3,5:00,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Gleison Tibau  Kurt Pellegrino,0  0,44  47,2  1,0  0,Lightweight,S-DEC,3,5:00,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
win,Joseph Benavidez  Ian Loveland,0  0,48  45,5  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 128: Shogun vs Jones,03/19/11,"Newark, New Jersey, USA",,,,,,
