full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Terrance McKinney,T. Wrecks,USA,28, 3.78, 48, 2.96, 43, 3.41, 41, 83, 1.4
Sara McMann,,USA,29, 2.26, 46, 1.92, 47, 4.38, 65, 50, 0.5
Gerald Meerschaert,GM3,USA,31, 3.11, 43, 3.47, 52, 2.12, 37, 29, 1.7
Alonzo Menifield,Atomic,USA,31, 3.07, 27, 7.33, 52, 0.00, 0, 0, 0.0
Darrick Minner,,USA,31, 2.63, 65, 2.28, 35, 2.40, 72, 66, 2.7
Stipe Miocic,,USA,28, 4.82, 53, 3.82, 54, 1.86, 34, 68, 0.0
Bryce Mitchell,Thug Nasty,USA,31, 2.48, 59, 1.71, 57, 3.26, 44, 33, 1.7
Renato Moicano,,BRA,29, 4.75, 47, 4.07, 60, 1.66, 46, 74, 0.7
Muhammad Mokaev,The Punisher,RUS,29, 1.14, 54, 0.87, 61, 7.34, 53, 0, 1.3
Jeff Molina,El Jefe,USA,31, 7.25, 48, 5.04, 55, 0.00, 0, 66, 0.0
Vince Morales,Vandetta,USA,28, 4.17, 37, 4.24, 53, 0.14, 25, 64, 0.0
Omar Morales,Venezuelan Fighter,VEN,29, 3.42, 40, 3.18, 58, 0.46, 100, 63, 0.0
Brandon Moreno,The Assassin Baby,MEX,31, 3.55, 40, 3.19, 56, 1.80, 45, 67, 0.6
Maryna Moroz,Iron Lady,UKR,27, 4.19, 31, 4.36, 53, 0.69, 22, 47, 0.7
Sergey Morozov,,KAZ,29, 3.01, 43, 2.97, 61, 3.63, 31, 68, 0.0
Nikolas Motta,Iron,BRA,29, 3.40, 34, 4.71, 58, 0.00, 0, 100, 0.0
Jamie Mullarkey,,AUS,31, 4.20, 46, 4.20, 54, 2.91, 35, 75, 0.2
